C,0,0,4,7,-1
cm,0,0,3,7,-1
C,0,0,4,7,-1
cm,0,0,3,7,-1
C,0,0,4,7,-1
cm,0,0,3,7,-1
C,0,0,0,0,-1
cm,0,0,0,0,-1
C,0,0,4,0,-1
cm,0,0,3,0,-1
C,0,0,7,0,-1
cm,0,0,7,0,-1
C,0,0,4,0,-1
cm,0,0,3,0,-1
C,0,0,4,4,-1
cm,0,0,3,3,-1
C,0,0,4,7,-1
cm,0,0,3,7,-1
C,0,0,7,0,-1
cm,0,0,7,0,-1
C,0,0,7,4,-1
cm,0,0,7,3,-1
C,0,0,7,7,-1
cm,0,0,7,7,-1
C,0,4,0,0,-1
cm,0,3,0,0,-1
C,0,4,0,4,-1
cm,0,3,0,3,-1
C,0,4,0,7,-1
cm,0,3,0,7,-1
C,0,4,0,4,-1
cm,0,3,0,3,-1
C,0,4,4,4,-1
cm,0,3,3,3,-1
C,0,4,7,4,-1
cm,0,3,7,3,-1
C,0,4,7,0,-1
cm,0,3,7,0,-1
C,0,4,7,4,-1
cm,0,3,7,3,-1
C,0,4,7,7,-1
cm,0,3,7,7,-1
C,0,7,0,0,-1
cm,0,7,0,0,-1
C,0,7,0,4,-1
cm,0,7,0,3,-1
C,0,7,0,7,-1
cm,0,7,0,7,-1
C,0,7,4,0,-1
cm,0,7,3,0,-1
C,0,7,4,4,-1
cm,0,7,3,3,-1
C,0,7,4,7,-1
cm,0,7,3,7,-1
C,0,7,0,7,-1
cm,0,7,0,7,-1
C,0,7,4,7,-1
cm,0,7,3,7,-1
C,0,7,7,7,-1
cm,0,7,7,7,-1
C,4,0,0,0,-1
cm,3,0,0,0,-1
C,4,0,4,0,-1
cm,3,0,3,0,-1
C,4,0,7,0,-1
cm,3,0,7,0,-1
C,4,0,4,0,-1
cm,3,0,3,0,-1
C,4,0,4,4,-1
cm,3,0,3,3,-1
C,4,0,4,7,-1
cm,3,0,3,7,-1
C,4,0,7,0,-1
cm,3,0,7,0,-1
C,4,0,7,4,-1
cm,3,0,7,3,-1
C,4,0,7,7,-1
cm,3,0,7,7,-1
C,4,4,0,0,-1
cm,3,3,0,0,-1
C,4,4,0,4,-1
cm,3,3,0,3,-1
C,4,4,0,7,-1
cm,3,3,0,7,-1
C,4,4,0,4,-1
cm,3,3,0,3,-1
C,4,4,4,4,-1
cm,3,3,3,3,-1
C,4,4,7,4,-1
cm,3,3,7,3,-1
C,4,4,7,0,-1
cm,3,3,7,0,-1
C,4,4,7,4,-1
cm,3,3,7,3,-1
C,4,4,7,7,-1
cm,3,3,7,7,-1
C,4,7,0,0,-1
cm,3,7,0,0,-1
C,4,7,0,4,-1
cm,3,7,0,3,-1
C,4,7,0,7,-1
cm,3,7,0,7,-1
C,4,7,4,0,-1
cm,3,7,3,0,-1
C,4,7,4,4,-1
cm,3,7,3,3,-1
C,4,7,4,7,-1
cm,3,7,3,7,-1
C,4,7,0,7,-1
cm,3,7,0,7,-1
C,4,7,4,7,-1
cm,3,7,3,7,-1
C,4,7,7,7,-1
cm,3,7,7,7,-1
C,7,0,0,0,-1
cm,7,0,0,0,-1
C,7,0,4,0,-1
cm,7,0,3,0,-1
C,7,0,7,0,-1
cm,7,0,7,0,-1
C,7,0,4,0,-1
cm,7,0,3,0,-1
C,7,0,4,4,-1
cm,7,0,3,3,-1
C,7,0,4,7,-1
cm,7,0,3,7,-1
C,7,0,7,0,-1
cm,7,0,7,0,-1
C,7,0,7,4,-1
cm,7,0,7,3,-1
C,7,0,7,7,-1
cm,7,0,7,7,-1
C,7,4,0,0,-1
cm,7,3,0,0,-1
C,7,4,0,4,-1
cm,7,3,0,3,-1
C,7,4,0,7,-1
cm,7,3,0,7,-1
C,7,4,0,4,-1
cm,7,3,0,3,-1
C,7,4,4,4,-1
cm,7,3,3,3,-1
C,7,4,7,4,-1
cm,7,3,7,3,-1
C,7,4,7,0,-1
cm,7,3,7,0,-1
C,7,4,7,4,-1
cm,7,3,7,3,-1
C,7,4,7,7,-1
cm,7,3,7,7,-1
C,7,7,0,0,-1
cm,7,7,0,0,-1
C,7,7,0,4,-1
cm,7,7,0,3,-1
C,7,7,0,7,-1
cm,7,7,0,7,-1
C,7,7,4,0,-1
cm,7,7,3,0,-1
C,7,7,4,4,-1
cm,7,7,3,3,-1
C,7,7,4,7,-1
cm,7,7,3,7,-1
C,7,7,0,7,-1
cm,7,7,0,7,-1
C,7,7,4,7,-1
cm,7,7,3,7,-1
C,7,7,7,7,-1
cm,7,7,7,7,-1
B,1,1,1,1,A
c#m,4,4,4,4,B
f#m,4,4,4,4,c#m
A,4,4,8,6,f#m
B,8,8,8,8,A
c#m,11,6,11,8,B
f#m,6,6,6,6,c#m
A,6,6,4,1,f#m
B,1,1,1,1,A
c#m,6,8,6,8,B
f#m,8,8,8,8,c#m
A,11,8,4,11,f#m
B,8,8,4,6,A
c#m,4,4,8,11,B
f#m,6,6,6,6,c#m
A,6,6,4,1,f#m
B,8,8,1,11,A
c#m,1,1,11,1,B
f#m,1,1,8,6,c#m
A,6,6,8,4,f#m
B,1,4,6,1,A
c#m,1,1,8,11,B
f#m,6,6,4,1,c#m
A,6,6,8,4,f#m
B,6,6,4,1,A
c#m,1,1,11,1,B
f#m,1,1,8,6,c#m
A,6,6,8,4,f#m
B,1,4,6,1,A
c#m,1,1,8,11,B
f#m,6,6,1,4,c#m
A,11,6,8,11,f#m
B,1,1,8,11,A
c#m,4,4,6,4,B
f#m,6,6,4,8,c#m
A,6,6,4,6,f#m
B,6,6,4,8,A
c#m,1,1,4,6,B
f#m,6,6,4,8,c#m
A,6,6,4,6,f#m
B,8,6,8,4,A
c#m,4,4,6,4,B
f#m,6,6,8,11,c#m
A,6,6,4,6,f#m
B,6,6,4,8,A
c#m,1,1,4,6,B
f#m,8,8,1,4,c#m
A,6,6,4,6,f#m
B,8,6,8,4,A
c#m,1,1,4,1,B
f#m,6,6,8,6,c#m
A,4,4,6,4,f#m
B,8,6,8,4,A
c#m,1,1,4,1,B
f#m,6,6,8,6,c#m
A,4,4,6,4,f#m
B,8,6,8,4,A
c#m,1,1,4,1,B
f#m,6,6,8,6,c#m
A,4,4,6,4,f#m
B,8,6,8,4,A
c#m,1,1,4,6,B
f#m,8,8,1,4,c#m
A,6,6,4,6,f#m
B,8,8,6,4,A
c#m,1,4,1,4,B
f#m,4,4,4,4,c#m
A,4,4,8,6,f#m
B,8,8,8,8,A
c#m,11,6,11,8,B
f#m,6,6,6,6,c#m
A,6,6,4,6,f#m
B,8,8,8,8,A
c#m,11,1,8,11,B
f#m,6,6,6,6,c#m
A,6,6,4,8,f#m
B,4,4,4,4,A
c#m,4,4,8,4,B
f#m,4,8,4,8,c#m
A,6,6,4,1,f#m
B,8,8,1,11,A
c#m,1,1,11,1,B
f#m,1,1,8,6,c#m
A,6,6,8,4,f#m
B,1,4,6,1,A
c#m,1,1,8,11,B
f#m,6,6,4,1,c#m
A,6,6,8,4,f#m
B,6,6,4,1,A
c#m,1,1,11,1,B
f#m,1,1,8,6,c#m
A,6,6,8,4,f#m
B,1,4,6,1,A
c#m,1,1,8,11,B
