C,0,4,7,10,11
cm,0,3,7,10,11
C#,1,5,8,11,0
c#m,1,4,8,11,0
D,2,6,9,0,1
dm,2,5,9,0,1
D#,3,7,10,1,2
d#m,3,6,10,1,2
E,4,8,11,2,3
em,4,7,11,2,3
F,5,9,0,3,4
fm,5,8,0,3,4
F#,6,10,1,4,5
f#m,6,9,1,4,5
G,7,11,2,5,6
gm,7,10,2,5,6
G#,8,0,3,6,7
g#m,8,11,3,6,7
A,9,1,4,7,8
am,9,0,4,7,8
A#,10,2,5,8,9
a#m,10,1,5,8,9
B,11,3,6,9,10
bm,11,2,6,9,10
